iter	Logloss
0	0.4974089819
1	0.3766770239
2	0.3026138208
3	0.2580696442
4	0.22681729
5	0.2050626166
6	0.1897232007
7	0.1783664368
8	0.1695255789
9	0.1631038614
10	0.1578729431
11	0.1535698871
12	0.1503231757
13	0.1473713312
14	0.1446106992
15	0.1428082098
16	0.140931676
17	0.1390955197
18	0.1379024268
19	0.136592887
20	0.1356885504
21	0.1343423138
22	0.1337257104
23	0.1326144183
24	0.1318998224
25	0.1309822693
26	0.130434234
27	0.1299845013
28	0.1295366827
29	0.1290878973
30	0.1285995374
31	0.1281669702
32	0.127623465
33	0.1271786719
34	0.1266879614
35	0.1262845233
36	0.1258992334
37	0.1255606116
38	0.125262262
39	0.1249458319
40	0.1244531436
41	0.1240652753
42	0.1236000903
43	0.1231455994
44	0.122671214
45	0.1223396039
46	0.1219633691
47	0.1217322186
48	0.1214794366
49	0.1211840308
50	0.1208915112
51	0.1206398492
52	0.1202741794
53	0.1198356699
54	0.1195393817
55	0.1191692535
56	0.1186361682
57	0.1183325467
58	0.1179961475
59	0.1178061227
60	0.1174942416
61	0.1171237466
62	0.1168761151
63	0.1165714209
64	0.1163212811
65	0.1161018854
66	0.1157746344
67	0.1155000836
68	0.115234252
69	0.1149025052
70	0.1146104733
71	0.1142509247
72	0.1140493881
73	0.1137278864
74	0.1135284543
75	0.1133099243
76	0.1130542163
77	0.1127976453
78	0.1125416629
79	0.1122087018
80	0.1119969022
81	0.1117628824
82	0.1113889801
83	0.1109791528
84	0.1107835687
85	0.1105238391
86	0.1102641501
87	0.1099704184
88	0.1097595374
89	0.1095015219
90	0.1093075507
91	0.1090268713
92	0.1087492505
93	0.1084745596
94	0.1082415997
95	0.1079190656
96	0.1076261874
97	0.1074690176
98	0.1072495255
99	0.1071198645
100	0.1069766168
101	0.10672828
102	0.106499277
103	0.1062203372
104	0.1060079126
105	0.1058657397
106	0.1055673541
107	0.1052586151
108	0.1048841354
109	0.1046812094
110	0.1044948605
111	0.1043278735
112	0.1039451022
113	0.1037670895
114	0.1034005768
115	0.1030720779
116	0.1028376605
117	0.1025987933
118	0.1023476785
119	0.1021674609
120	0.1020222787
121	0.1017700793
122	0.1015022995
123	0.1012643301
124	0.1010469766
125	0.1007679358
126	0.1005383441
127	0.1003030084
128	0.1001036206
129	0.09988733887
130	0.09967540833
131	0.09951555298
132	0.09922636139
133	0.09904167755
134	0.09883003235
135	0.09856858124
136	0.09829217194
137	0.09811519531
138	0.09789093292
139	0.09764525177
140	0.09747140289
141	0.09727813965
142	0.09703356842
143	0.09683802032
144	0.09663699738
145	0.09645322144
146	0.09625493011
147	0.09599637238
148	0.09578191528
149	0.09557205811
150	0.09538825317
151	0.09509068634
152	0.09480046326
153	0.09461287994
154	0.0943658548
155	0.09417792206
156	0.09398860443
157	0.09370668518
158	0.09352232239
159	0.09336997314
160	0.09317794495
161	0.09295763062
162	0.09280544373
163	0.09268790039
164	0.09248101074
165	0.09222058624
166	0.09209150635
167	0.09191161194
168	0.09167430511
169	0.09154019806
170	0.09137921478
171	0.09116841248
172	0.09099064575
173	0.09086437042
174	0.0906641153
175	0.0904715686
176	0.09029383087
177	0.0900548642
178	0.08988917206
179	0.08974063446
180	0.08958931305
181	0.0894172168
182	0.08924920105
183	0.08910625427
184	0.08898127625
185	0.08877889526
186	0.08863733643
187	0.08844110291
188	0.08824137604
189	0.08807548401
190	0.08792669525
191	0.08774391327
192	0.08755225433
193	0.08734674255
194	0.08714972992
195	0.08692609131
196	0.08678715729
197	0.08656806549
198	0.08641594696
199	0.08621156189
200	0.08608307465
201	0.08588945618
202	0.08566572632
203	0.08553320435
204	0.08529538757
205	0.08513949921
206	0.08496945923
207	0.08479774902
208	0.08459569946
209	0.08445531281
210	0.08432289246
211	0.08415293976
212	0.08404134094
213	0.08389772034
214	0.08377221008
215	0.08353705231
216	0.08336719818
217	0.08321001129
218	0.08306527557
219	0.08289092865
220	0.08275862885
221	0.08265082733
222	0.08247487183
223	0.08233547211
224	0.08221218933
225	0.08203348419
226	0.08188422058
227	0.0817229071
228	0.08153564728
229	0.08130846985
230	0.08113386414
231	0.0809659436
232	0.08080580383
233	0.08064108093
234	0.08048978912
235	0.08028394135
236	0.08014378815
237	0.08004938202
238	0.07991546936
239	0.07967030548
240	0.07957061707
241	0.07943910767
242	0.07932414886
243	0.07920845245
244	0.07904717621
245	0.07893522308
246	0.07878185425
247	0.07866206055
248	0.07850178894
249	0.07834727173
250	0.07822217926
251	0.07808446259
252	0.07794760803
253	0.07775760895
254	0.07760849213
255	0.07746240112
256	0.07729467773
257	0.07713123291
258	0.07695914154
259	0.07683666351
260	0.07670815186
261	0.07659937103
262	0.07646784424
263	0.07634178284
264	0.07623060608
265	0.07609735626
266	0.07597840881
267	0.07579818726
268	0.07562590057
269	0.07551880005
270	0.07541079254
271	0.07533168549
272	0.07521378265
273	0.07504067322
274	0.07484808533
275	0.07473199799
276	0.07454819504
277	0.07444874893
278	0.07435594055
279	0.07425894562
280	0.0740925238
281	0.07394423523
282	0.07382374756
283	0.0736709697
284	0.07352393692
285	0.07338678574
286	0.07327556183
287	0.07314208679
288	0.07301823883
289	0.07294809235
290	0.07285503418
291	0.07271457138
292	0.07261419098
293	0.07249299606
294	0.07240648529
295	0.07229325958
296	0.07221194595
297	0.0720442128
298	0.07191335632
299	0.07172804489
300	0.07159777145
301	0.07147804932
302	0.07136505814
303	0.07126067932
304	0.07118493912
305	0.07106596802
306	0.07092989075
307	0.07081639359
308	0.07070198425
309	0.07060824249
310	0.07040666534
311	0.07020863968
312	0.07004594894
313	0.06991276855
314	0.06979300674
315	0.06968520294
316	0.06957523178
317	0.06945657806
318	0.06933922729
319	0.06923443298
320	0.06905091476
321	0.0689763736
322	0.06887427902
323	0.06873341324
324	0.06859678726
325	0.06842484589
326	0.06832055695
327	0.06819590256
328	0.06805126129
329	0.06791634109
330	0.06778344498
331	0.06769382645
332	0.06754223816
333	0.06741100235
334	0.06730457306
335	0.06719096237
336	0.0670348764
337	0.06688116348
338	0.06674565674
339	0.06667869797
340	0.06656997849
341	0.06645509521
342	0.06636639175
343	0.06623378479
344	0.06614921204
345	0.06604815811
346	0.06595339478
347	0.06587358093
348	0.06576170776
349	0.06563899063
350	0.06551414825
351	0.06542321976
352	0.06530300278
353	0.06519756958
354	0.0651056723
355	0.06501095688
356	0.06487883118
357	0.06477161514
358	0.06465086288
359	0.06454467545
360	0.06446296143
361	0.06435859665
362	0.064300961
363	0.06419107086
364	0.06410497696
365	0.06402356934
366	0.06387316666
367	0.06378959061
368	0.06370888901
369	0.0635818045
370	0.06347510132
371	0.06340250595
372	0.06332422806
373	0.06320997803
374	0.06307421661
375	0.06293443207
376	0.06282831894
377	0.06273117813
378	0.0626198349
379	0.06252299164
380	0.06240592178
381	0.06230312683
382	0.06221259109
383	0.06210499985
384	0.06201405762
385	0.06189546112
386	0.06180588455
387	0.06170791641
388	0.06159429306
389	0.06152289627
390	0.06142433121
391	0.0613247908
392	0.06126311737
393	0.06115910141
394	0.06108116257
395	0.06100115387
396	0.06090937729
397	0.06081321335
398	0.06073132889
399	0.06064685623
400	0.06058492828
401	0.06048155289
402	0.06037554504
403	0.06030177567
404	0.060185849
405	0.06007306763
406	0.0600279895
407	0.05989850433
408	0.05977037903
409	0.059651465
410	0.05961748428
411	0.05951345764
412	0.05943094162
413	0.05937885986
414	0.05932352493
415	0.05918728195
416	0.05908096588
417	0.05900962769
418	0.05893964661
419	0.0588981723
420	0.05878261597
421	0.0586374231
422	0.05858000214
423	0.05848421295
424	0.05840431839
425	0.05830313843
426	0.05822645477
427	0.05814112656
428	0.05805654068
429	0.05799341888
430	0.05790423813
431	0.0578132753
432	0.05773994003
433	0.05767207703
434	0.05761075333
435	0.05751290176
436	0.05744079788
437	0.05737090881
438	0.05728964188
439	0.05716177704
440	0.05706823608
441	0.05696478668
442	0.05686604797
443	0.0567595694
444	0.05667266632
445	0.05661888229
446	0.05651477722
447	0.05643711426
448	0.05635348007
449	0.05625763794
450	0.05619908096
451	0.05611699417
452	0.05603620682
453	0.05597477982
454	0.05590877197
455	0.05586021729
456	0.05576524307
457	0.05568482849
458	0.05560472107
459	0.05554320724
460	0.05545858749
461	0.05535414841
462	0.05524989349
463	0.05518423187
464	0.05511342468
465	0.05497437881
466	0.05491314316
467	0.05485045914
468	0.05480056
469	0.0547096312
470	0.05461807739
471	0.05453368225
472	0.05443377502
473	0.05433965668
474	0.05426095871
475	0.05417498444
476	0.05410711731
477	0.05400429993
478	0.05394981781
479	0.05384834564
480	0.05372792862
481	0.05365697372
482	0.05358175293
483	0.05352368195
484	0.053425495
485	0.05334111313
486	0.05329542496
487	0.05317358948
488	0.05310098206
489	0.05302562683
490	0.05297547256
491	0.05290675491
492	0.05282959595
493	0.05276471115
494	0.05268973236
495	0.05263615204
496	0.05254660919
497	0.05248996262
498	0.05240804474
499	0.05233239243
